控制器,物理CAN,作用域,报文类型,CAN ID,方向,周期,分类,Byte,Bit,信号名,说明
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x89,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,中臂推进梁仰最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x89,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,中臂推进梁俯最小电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x89,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,中臂推进梁俯最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8A,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,中臂推进梁左摆最小电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8A,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,中臂推进梁左摆最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8A,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,中臂推进梁右摆最小电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8A,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,中臂推进梁右摆最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8B,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,中臂推进梁补偿伸最小电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8B,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,中臂推进梁补偿伸最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8B,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,中臂推进梁补偿缩最小电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8B,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,中臂推进梁补偿缩最大电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8C,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,中臂推进压力35bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8C,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,中臂推进压力40bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8C,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,中臂推进压力70bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8C,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,中臂推进压力100bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8D,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,中臂冲击压力100bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8D,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,中臂推进压力130bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8D,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,中臂推进压力180bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8D,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,中臂推进压力220bar电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x8E,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,中臂自动推进缩电流设定,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,中臂左油缸伸,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,中臂左油缸缩,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,中臂右油缸伸,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,中臂右油缸缩,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,中臂大臂伸,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,中臂大臂缩,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,中臂推进梁左转,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,中臂推进梁右转,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,中臂推进梁仰,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,中臂推进梁俯,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,中臂推进梁左摆,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,中臂推进梁右摆,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,中臂补偿伸,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,中臂补偿缩,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,中臂凿岩机左转,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,中臂凿岩机右转,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,中臂凿岩机前进,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,中臂凿岩机后退,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,中臂凿岩机冲击电流,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,中臂推进调压电流,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b0,主反馈,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b2,中角反馈,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b3,中星反馈,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b4,中臂润滑压力值低,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b5,,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b6,,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B5,发送至电脑,150ms,,B0,b7,,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B6,发送至电脑,150ms,输入信号,B0-B1,,中臂左推进压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B6,发送至电脑,150ms,输入信号,B2-B3,,中臂冲击压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B6,发送至电脑,150ms,输入信号,B4-B5,,中臂回转压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B6,发送至电脑,150ms,输入信号,B6-B7,,中臂臂架压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B7,发送至电脑,150ms,输入信号,B0-B1,,中臂补偿推进压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B7,发送至电脑,150ms,输入信号,B2-B3,,中臂水流量,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B7,发送至电脑,150ms,输入信号,B4-B5,,中臂润滑压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B7,发送至电脑,150ms,输入信号,B6-B7,,中臂缓冲压力,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b0,中主继电器,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b1,中角继电器,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b2,中气阀,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b3,中星继电器,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b4,中水阀,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b5,中冲击电磁阀,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B8,发送至电脑,150ms,,B0,b6,中润滑电磁阀,
整车控制PCB,CAN1(执行器),中臂,三臂专属,0x1B9,发送至电脑,150ms,,B0-B3,,中臂凿岩工作时间,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x91,接收电脑,逐帧发送,凿岩参数设置,B0-B1,,右臂钻孔深度设定,单位mm
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x91,接收电脑,逐帧发送,凿岩参数设置,B2-B3,,右臂领孔孔深,单位mm
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x91,接收电脑,逐帧发送,凿岩参数设置,B4,,右臂1级防卡钎压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x91,接收电脑,逐帧发送,凿岩参数设置,B5,,右臂2级防卡钎压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x91,接收电脑,逐帧发送,凿岩参数设置,B6,,右臂防空打高压力设定,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x92,接收电脑,逐帧发送,凿岩参数设置,B0,,右臂润滑打开时间,单位s
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x92,接收电脑,逐帧发送,凿岩参数设置,B1,,右臂润滑关闭时间,单位s
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x92,接收电脑,逐帧发送,凿岩参数设置,B2,,右臂顶岩面压力设定,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x92,接收电脑,逐帧发送,凿岩参数设置,B3-B4,,右臂防卡钎延时,单位ms
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B0,,右臂领孔_回转压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B1,,右臂领孔_推进压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B2,,右臂领孔_冲击压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B3,,右臂领孔_推进速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B4,,右臂领孔_旋转速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B5,,右臂钻孔_回转压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B6,,右臂钻孔_推进压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x93,接收电脑,逐帧发送,凿岩参数设置,B7,,右臂钻孔_冲击压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B0,,右臂钻孔_推进速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B1,,右臂钻孔_旋转速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B2,,右臂大孔_回转压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B3,,右臂大孔_推进压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B4,,右臂大孔_冲击压力,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B5,,右臂大孔_推进速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x94,接收电脑,逐帧发送,凿岩参数设置,B6,,右臂大孔_旋转速度,单位bar
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x95,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂大三角左伸最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x95,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂大三角右伸最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x95,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂大三角左伸最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x95,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂大三角右伸最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x96,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂大三角左缩最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x96,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂大三角右缩最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x96,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂大三角左缩最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x96,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂大三角右缩最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x97,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂大臂伸最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x97,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂大臂伸最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x97,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂大臂缩最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x97,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂大臂缩最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x98,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂推进梁左旋最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x98,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进梁左旋最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x98,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进梁右旋最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x98,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进梁右旋最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x99,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂推进梁仰最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x99,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进梁仰最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x99,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进梁俯最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x99,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进梁俯最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9A,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂推进梁左摆最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9A,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进梁左摆最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9A,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进梁右摆最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9A,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进梁右摆最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9B,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂推进梁补偿伸最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9B,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进梁补偿伸最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9B,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进梁补偿缩最小电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9B,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进梁补偿缩最大电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9C,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂推进压力35bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9C,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进压力40bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9C,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进压力70bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9C,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进压力100bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9D,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂冲击压力100bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9D,接收电脑,逐帧发送,臂架动作最大最小电流,B2-B3,,右臂推进压力130bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9D,接收电脑,逐帧发送,臂架动作最大最小电流,B4-B5,,右臂推进压力180bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9D,接收电脑,逐帧发送,臂架动作最大最小电流,B6-B7,,右臂推进压力220bar电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x9E,接收电脑,逐帧发送,臂架动作最大最小电流,B0-B1,,右臂自动推进缩电流设定,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,右臂左油缸伸,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,右臂左油缸缩,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,右臂右油缸伸,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C0,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,右臂右油缸缩,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,右臂大臂伸,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,右臂大臂缩,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,右臂推进梁左转,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C1,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,右臂推进梁右转,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,右臂推进梁仰,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,右臂推进梁俯,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,右臂推进梁左摆,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C2,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,右臂推进梁右摆,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,右臂补偿伸,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,右臂补偿缩,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,右臂凿岩机左转,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C3,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,右臂凿岩机右转,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B0-B1,,右臂凿岩机前进,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B2-B3,,右臂凿岩机后退,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B4-B5,,右臂凿岩机冲击电流,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C4,发送至电脑,150ms,电 磁 阀 模 拟 量 信 号 监 控,B6-B7,,右臂推进调压电流,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b0,右左主反馈,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b1,右左角反馈,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b2,右左星反馈,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b3,右臂润滑压力值低,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b4,,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b5,,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C5,发送至电脑,150ms,,B0,b6,,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C6,发送至电脑,150ms,输入信号,B0-B1,,右臂推进压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C6,发送至电脑,150ms,输入信号,B2-B3,,右臂冲击压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C6,发送至电脑,150ms,输入信号,B4-B5,,右臂回转压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C6,发送至电脑,150ms,输入信号,B6-B7,,右臂臂架压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C7,发送至电脑,150ms,输入信号,B0-B1,,右臂补偿推进压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C7,发送至电脑,150ms,输入信号,B2-B3,,右臂水流量,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C7,发送至电脑,150ms,输入信号,B4-B5,,右臂润滑压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C7,发送至电脑,150ms,输入信号,B6-B7,,右臂缓冲压力,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b0,右主继电器,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b1,右角继电器,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b2,右气阀,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b3,右星继电器,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b4,右水阀,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b5,右冲击电磁阀,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C8,发送至电脑,150ms,输出信号,B0,b6,右润滑电磁阀,
整车控制PCB,CAN1(执行器),右臂,三臂专属,0x1C9,发送至电脑,150ms,输出信号,B0-B3,,右凿岩工作时间,
